A,w1,relative_w1,critical_w1,amplitude,simulation_number,N
5.555555555555555,3.512653848506442,0.1,3.4126538485064417,0.6495804935600866,1,128
5.555555555555555,3.612653848506442,0.2,3.4126538485064417,0.1352578403251959,0,128
5.555555555555555,3.612653848506442,0.2,3.4126538485064417,0.7202452901739759,1,128
6.666666666666667,3.162811051848044,-0.2,3.3628110518480443,0.4601137846751924,0,128
6.666666666666667,3.162811051848044,-0.2,3.3628110518480443,0.28697929344911977,1,128
6.666666666666667,3.262811051848044,-0.1,3.3628110518480443,0.4823937464598114,0,128
6.666666666666667,3.262811051848044,-0.1,3.3628110518480443,0.13668500147820573,1,128
6.666666666666667,3.3628110518480443,0.0,3.3628110518480443,0.3027297387870366,0,128
6.666666666666667,3.3628110518480443,0.0,3.3628110518480443,0.3772019512780045,1,128
6.666666666666667,3.4628110518480444,0.1,3.3628110518480443,0.47657743270160885,0,128
6.666666666666667,3.4628110518480444,0.1,3.3628110518480443,0.874026517813392,1,128
6.666666666666667,3.5628110518480445,0.2,3.3628110518480443,0.47684771222627603,0,128
6.666666666666667,3.5628110518480445,0.2,3.3628110518480443,0.3186992497919448,1,128
7.777777777777779,3.116975869917469,-0.2,3.3169758699174694,0.2522656652633067,0,128
7.777777777777779,3.116975869917469,-0.2,3.3169758699174694,0.21929029513283405,1,128
7.777777777777779,3.2169758699174693,-0.1,3.3169758699174694,0.24535852195480654,0,128
7.777777777777779,3.2169758699174693,-0.1,3.3169758699174694,1.378597406334238,1,128
7.777777777777779,3.3169758699174694,0.0,3.3169758699174694,0.4665755726598489,0,128
7.777777777777779,3.3169758699174694,0.0,3.3169758699174694,0.348720350546626,1,128
7.777777777777779,3.4169758699174695,0.1,3.3169758699174694,0.9986805976177038,0,128
7.777777777777779,3.4169758699174695,0.1,3.3169758699174694,0.6575688523083358,1,128
7.777777777777779,3.5169758699174696,0.2,3.3169758699174694,0.323170121042971,0,128
7.777777777777779,3.5169758699174696,0.2,3.3169758699174694,0.5886521381466393,1,128
8.88888888888889,3.074313522786898,-0.2,3.274313522786898,0.3378347395202979,0,128
8.88888888888889,3.074313522786898,-0.2,3.274313522786898,0.5755604904843479,1,128
8.88888888888889,3.174313522786898,-0.1,3.274313522786898,0.25995240147008103,0,128
8.88888888888889,3.174313522786898,-0.1,3.274313522786898,0.35279447168344913,1,128
8.88888888888889,3.274313522786898,0.0,3.274313522786898,0.8646939275072715,0,128
8.88888888888889,3.274313522786898,0.0,3.274313522786898,0.325192138329935,1,128
8.88888888888889,3.374313522786898,0.1,3.274313522786898,0.4581745783313015,0,128
8.88888888888889,3.374313522786898,0.1,3.274313522786898,0.6434373070472281,1,128
8.88888888888889,3.474313522786898,0.2,3.274313522786898,0.8378730987690739,0,128
8.88888888888889,3.474313522786898,0.2,3.274313522786898,0.5140884754200145,1,128
10.0,3.034244170338159,-0.2,3.234244170338159,0.24718909275053005,0,128
10.0,3.034244170338159,-0.2,3.234244170338159,0.4598924354335555,1,128
10.0,3.134244170338159,-0.1,3.234244170338159,0.43916833620829204,0,128
10.0,3.134244170338159,-0.1,3.234244170338159,0.10484487348821982,1,128
10.0,3.234244170338159,0.0,3.234244170338159,0.5255714243769177,0,128
10.0,3.234244170338159,0.0,3.234244170338159,0.8237722997552667,1,128
10.0,3.334244170338159,0.1,3.234244170338159,0.4611031200818322,0,128
10.0,3.334244170338159,0.1,3.234244170338159,0.24297815862672198,1,128
10.0,3.434244170338159,0.2,3.234244170338159,0.6222552815581567,0,128
10.0,3.434244170338159,0.2,3.234244170338159,0.5104902569681267,1,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,2,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,3,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,2,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,3,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,2,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,3,128
0.0,4.0348680723879,0.1,3.9348680723879,2.768039481573297,2,128
0.0,4.0348680723879,0.1,3.9348680723879,2.768039481573297,3,128
0.0,4.1348680723879,0.2,3.9348680723879,3.751787771123411,2,128
0.0,4.1348680723879,0.2,3.9348680723879,3.751787771123411,3,128
1.1111111111111112,3.501326771704653,-0.2,3.701326771704653,0.21294413197516043,2,128
1.1111111111111112,3.501326771704653,-0.2,3.701326771704653,0.17430493452175314,3,128
1.1111111111111112,3.601326771704653,-0.1,3.701326771704653,0.4185665597962707,2,128
1.1111111111111112,3.601326771704653,-0.1,3.701326771704653,0.6924844546378044,3,128
1.1111111111111112,3.701326771704653,0.0,3.701326771704653,1.171028449122416,2,128
1.1111111111111112,3.701326771704653,0.0,3.701326771704653,0.9011131589663672,3,128
1.1111111111111112,3.801326771704653,0.1,3.701326771704653,0.8801215311617546,2,128
1.1111111111111112,3.801326771704653,0.1,3.701326771704653,0.45675234544315557,3,128
1.1111111111111112,3.901326771704653,0.2,3.701326771704653,1.6986309424917512,2,128
1.1111111111111112,3.901326771704653,0.2,3.701326771704653,1.099132571241997,3,128
2.2222222222222223,3.404590797587399,-0.2,3.604590797587399,0.33718212129910574,2,128
2.2222222222222223,3.404590797587399,-0.2,3.604590797587399,0.07475280550321599,3,128
2.2222222222222223,3.504590797587399,-0.1,3.604590797587399,0.37037348174946205,2,128
2.2222222222222223,3.504590797587399,-0.1,3.604590797587399,0.33688761205644724,3,128
2.2222222222222223,3.604590797587399,0.0,3.604590797587399,0.5276759384782952,2,128
2.2222222222222223,3.604590797587399,0.0,3.604590797587399,0.21437626252063735,3,128
2.2222222222222223,3.7045907975873993,0.1,3.604590797587399,0.31117519932454973,2,128
2.2222222222222223,3.7045907975873993,0.1,3.604590797587399,0.7635568445592846,3,128
2.2222222222222223,3.8045907975873994,0.2,3.604590797587399,2.3355680450023675,2,128
2.2222222222222223,3.8045907975873994,0.2,3.604590797587399,0.779119174381753,3,128
3.3333333333333335,3.330362673938796,-0.2,3.530362673938796,0.29231542203494915,2,128
3.3333333333333335,3.330362673938796,-0.2,3.530362673938796,0.2705258375029886,3,128
3.3333333333333335,3.430362673938796,-0.1,3.530362673938796,0.3567004174076178,2,128
3.3333333333333335,3.430362673938796,-0.1,3.530362673938796,0.22080136202483142,3,128
3.3333333333333335,3.530362673938796,0.0,3.530362673938796,0.8281321781212159,2,128
3.3333333333333335,3.530362673938796,0.0,3.530362673938796,0.5542037388215755,3,128
3.3333333333333335,3.630362673938796,0.1,3.530362673938796,0.7034077344994931,2,128
3.3333333333333335,3.630362673938796,0.1,3.530362673938796,1.195799684094252,3,128
3.3333333333333335,3.7303626739387963,0.2,3.530362673938796,1.307349247869615,2,128
3.3333333333333335,3.7303626739387963,0.2,3.530362673938796,0.9015829189109043,3,128
4.444444444444445,3.267785471021406,-0.2,3.467785471021406,0.20800070370538787,2,128
4.444444444444445,3.267785471021406,-0.2,3.467785471021406,0.4197452232924448,3,128
4.444444444444445,3.367785471021406,-0.1,3.467785471021406,0.9412318670508192,2,128
4.444444444444445,3.367785471021406,-0.1,3.467785471021406,0.11595832601394485,3,128
4.444444444444445,3.467785471021406,0.0,3.467785471021406,0.995168790066947,2,128
4.444444444444445,3.467785471021406,0.0,3.467785471021406,0.3717380330860781,3,128
4.444444444444445,3.567785471021406,0.1,3.467785471021406,0.9810843546319754,2,128
4.444444444444445,3.567785471021406,0.1,3.467785471021406,1.1986006411044317,3,128
4.444444444444445,3.667785471021406,0.2,3.467785471021406,1.32419107003307,2,128
4.444444444444445,3.667785471021406,0.2,3.467785471021406,0.9672980720517753,3,128
5.555555555555555,3.2126538485064415,-0.2,3.4126538485064417,0.36108936959502397,2,128
5.555555555555555,3.2126538485064415,-0.2,3.4126538485064417,0.3720259276488559,3,128
5.555555555555555,3.3126538485064416,-0.1,3.4126538485064417,0.6502860249780329,2,128
5.555555555555555,3.3126538485064416,-0.1,3.4126538485064417,0.5768223889957526,3,128
5.555555555555555,3.4126538485064417,0.0,3.4126538485064417,0.824108384542539,2,128
5.555555555555555,3.4126538485064417,0.0,3.4126538485064417,0.48322474546175015,3,128
5.555555555555555,3.512653848506442,0.1,3.4126538485064417,0.287123422658989,2,128
5.555555555555555,3.512653848506442,0.1,3.4126538485064417,0.5000959913849179,3,128
5.555555555555555,3.612653848506442,0.2,3.4126538485064417,0.8895435149266739,2,128
5.555555555555555,3.612653848506442,0.2,3.4126538485064417,0.70890909872377,3,128
6.666666666666667,3.162811051848044,-0.2,3.3628110518480443,0.39715344388510165,2,128
6.666666666666667,3.162811051848044,-0.2,3.3628110518480443,0.6775957661784239,3,128
6.666666666666667,3.262811051848044,-0.1,3.3628110518480443,0.5158770620413249,2,128
6.666666666666667,3.262811051848044,-0.1,3.3628110518480443,0.38165810986146986,3,128
6.666666666666667,3.3628110518480443,0.0,3.3628110518480443,0.7548401102123593,2,128
6.666666666666667,3.3628110518480443,0.0,3.3628110518480443,0.7814244293751726,3,128
6.666666666666667,3.4628110518480444,0.1,3.3628110518480443,0.48593098323213946,2,128
6.666666666666667,3.4628110518480444,0.1,3.3628110518480443,0.2442436152486997,3,128
6.666666666666667,3.5628110518480445,0.2,3.3628110518480443,0.38227893176120004,2,128
6.666666666666667,3.5628110518480445,0.2,3.3628110518480443,0.7493614169117145,3,128
7.777777777777779,3.116975869917469,-0.2,3.3169758699174694,0.33958164804272567,2,128
7.777777777777779,3.116975869917469,-0.2,3.3169758699174694,0.5381303796242911,3,128
7.777777777777779,3.2169758699174693,-0.1,3.3169758699174694,0.24914589444719037,2,128
7.777777777777779,3.2169758699174693,-0.1,3.3169758699174694,0.6226597141792736,3,128
7.777777777777779,3.3169758699174694,0.0,3.3169758699174694,0.7973176798399492,2,128
7.777777777777779,3.3169758699174694,0.0,3.3169758699174694,0.6937128045894593,3,128
7.777777777777779,3.4169758699174695,0.1,3.3169758699174694,0.7613266484280838,2,128
7.777777777777779,3.4169758699174695,0.1,3.3169758699174694,0.6769010659779374,3,128
7.777777777777779,3.5169758699174696,0.2,3.3169758699174694,0.6083783457868235,2,128
7.777777777777779,3.5169758699174696,0.2,3.3169758699174694,0.5307024197203752,3,128
8.88888888888889,3.074313522786898,-0.2,3.274313522786898,0.5547768826030672,2,128
8.88888888888889,3.074313522786898,-0.2,3.274313522786898,0.6086318343617606,3,128
8.88888888888889,3.174313522786898,-0.1,3.274313522786898,0.2823017088321251,2,128
8.88888888888889,3.174313522786898,-0.1,3.274313522786898,0.2487124331767048,3,128
8.88888888888889,3.274313522786898,0.0,3.274313522786898,0.44704697613160777,2,128
8.88888888888889,3.274313522786898,0.0,3.274313522786898,0.28159936710815964,3,128
8.88888888888889,3.374313522786898,0.1,3.274313522786898,0.5373338616538305,2,128
8.88888888888889,3.374313522786898,0.1,3.274313522786898,0.14630024545138176,3,128
8.88888888888889,3.474313522786898,0.2,3.274313522786898,0.7912349898384918,2,128
8.88888888888889,3.474313522786898,0.2,3.274313522786898,0.5963047054362403,3,128
10.0,3.034244170338159,-0.2,3.234244170338159,0.47890903146811176,2,128
